Date,Open,High,Low,Close,Adj Close,Volume
2021-02-18,66.169998,66.510002,65.209999,65.470001,62.075703,64600
2021-02-19,66.000000,67.050003,66.000000,67.000000,63.526402,189700
2021-02-22,67.000000,68.769997,67.000000,68.220001,64.683144,90100
2021-02-23,67.980003,68.528000,66.570000,68.309998,64.768486,94900
2021-02-24,68.300003,70.349998,68.300003,70.120003,66.484634,133300
2021-02-25,70.320000,70.669998,68.144997,68.309998,64.768486,125200
2021-02-26,68.459999,68.505997,66.319000,67.660004,64.152184,102400
2021-03-01,69.320000,70.169998,69.024002,69.889999,66.266556,123900
2021-03-02,69.760002,70.099998,69.099998,69.099998,65.517509,128700
2021-03-03,69.650002,71.230003,69.650002,69.989998,66.361389,172400
2021-03-04,70.070000,70.830002,67.853996,69.120003,65.536484,216300
2021-03-05,70.519997,71.300003,68.129997,71.169998,67.480202,212700
2021-03-08,72.239998,73.241997,71.834999,72.650002,68.883461,194400
2021-03-09,73.389999,73.389999,72.010002,72.430000,68.674866,151700
2021-03-10,72.849998,74.358002,72.750000,74.230003,70.381569,118200
2021-03-11,75.000000,75.339996,74.360001,75.139999,71.244370,219100
2021-03-12,75.449997,76.040001,75.440002,75.930000,71.993416,108700
2021-03-15,76.180000,76.180000,75.035004,76.000000,72.059776,116300
2021-03-16,76.000000,76.070000,74.360001,74.680000,70.808228,152900
2021-03-17,74.629997,75.379997,73.839996,75.339996,71.433998,76000
2021-03-18,75.190002,76.290001,73.379997,73.650002,69.831619,135500
2021-03-19,73.919998,74.510002,72.489998,74.019997,70.182434,137900
2021-03-22,74.150002,74.150002,72.320000,72.750000,68.978287,192300
2021-03-23,71.830002,71.877998,69.059998,69.440002,66.074234,158300
2021-03-24,70.529999,71.580002,68.889999,68.889999,65.550873,111900
2021-03-25,68.169998,71.019997,67.718002,70.860001,67.425392,159900
2021-03-26,71.589996,72.879997,71.540001,72.830002,69.299904,101600
2021-03-29,72.269997,73.050003,70.739998,70.830002,67.396851,250500
2021-03-30,70.879997,72.400002,70.870003,72.120003,68.624321,89600
2021-03-31,72.760002,72.989998,71.750000,72.209999,68.709946,141300
2021-04-01,72.620003,73.199997,72.154999,73.199997,69.651962,183000
2021-04-05,74.129997,74.129997,73.000000,73.489998,69.927910,154900
2021-04-06,73.599998,74.269997,73.139999,73.220001,69.671005,125300
2021-04-07,73.410004,73.639999,72.489998,72.720001,69.195236,111900
2021-04-08,72.769997,72.779999,71.560997,72.720001,69.195236,98000
2021-04-09,72.720001,73.040001,72.510002,72.949997,69.414078,82400
2021-04-12,73.230003,73.442001,72.879997,73.160004,69.613907,214300
2021-04-13,73.269997,73.269997,71.764000,72.279999,68.776573,77400
2021-04-14,72.349998,74.180000,72.349998,73.389999,69.832764,74200
2021-04-15,73.849998,73.849998,72.800003,73.459999,69.899361,87800
2021-04-16,73.839996,74.107002,73.410004,73.919998,70.337067,105900
2021-04-19,74.059998,74.089996,72.879997,73.470001,69.908875,715700
2021-04-20,73.169998,73.349998,70.544998,71.150002,67.701324,277400
